"노선별","항공사별","도착출발별","시점",여객 (명)
"제주-청주","계","도착","2020.02",52635
"제주-청주","계","도착","2020.03",37881
"제주-청주","계","도착","2020.04",41059
"제주-청주","계","도착","2020.05",74930
"제주-청주","계","도착","2020.06",80669
"제주-청주","계","도착","2020.07",99304
"제주-청주","계","도착","2020.08",105502
"제주-청주","계","도착","2020.09",67563
"제주-청주","계","도착","2020.11",121630
"제주-청주","계","도착","2020.12",59148
"제주-청주","계","도착","2021.01",49894
"제주-청주","계","도착","2021.02",86142
"제주-청주","계","도착","2021.03",90685
"제주-청주","계","도착","2021.04",117038
"제주-청주","계","도착","2021.05",125625
"제주-청주","계","도착","2021.06",123691
"제주-청주","계","도착","2021.07",122121
"제주-청주","계","도착","2021.08",101538
"제주-청주","계","도착","2021.09",95179
"제주-청주","계","도착","2021.10",141959
"제주-청주","계","도착","2021.11",137762
"제주-청주","계","도착","2021.12",126306
"제주-청주","계","도착","2022.01",138680
"제주-청주","계","도착","2022.02",124319
"제주-청주","계","도착","2022.03",103084
"제주-청주","계","도착","2022.04",135288
"제주-청주","계","도착","2022.05",151179
"제주-청주","계","도착","2022.06",139362
"제주-청주","계","도착","2022.07",136165
"제주-청주","계","도착","2022.08",137667
"제주-청주","계","도착","2022.09",126007
"제주-청주","계","도착","2022.10",151423
"제주-청주","계","도착","2022.11",126190
"제주-청주","계","출발","2020.02",55190
"제주-청주","계","출발","2020.03",38120
"제주-청주","계","출발","2020.04",34840
"제주-청주","계","출발","2020.05",78202
"제주-청주","계","출발","2020.06",80806
"제주-청주","계","출발","2020.07",94774
"제주-청주","계","출발","2020.08",111092
"제주-청주","계","출발","2020.09",64116
"제주-청주","계","출발","2020.11",125191
"제주-청주","계","출발","2020.12",60538
"제주-청주","계","출발","2021.01",48135
"제주-청주","계","출발","2021.02",84272
"제주-청주","계","출발","2021.03",91865
"제주-청주","계","출발","2021.04",114407
"제주-청주","계","출발","2021.05",126750
"제주-청주","계","출발","2021.06",122371
"제주-청주","계","출발","2021.07",118704
"제주-청주","계","출발","2021.08",110088
"제주-청주","계","출발","2021.09",93787
"제주-청주","계","출발","2021.10",139527
"제주-청주","계","출발","2021.11",138675
"제주-청주","계","출발","2021.12",121736
"제주-청주","계","출발","2022.01",138434
"제주-청주","계","출발","2022.02",128612
"제주-청주","계","출발","2022.03",103903
"제주-청주","계","출발","2022.04",131862
"제주-청주","계","출발","2022.05",149241
"제주-청주","계","출발","2022.06",140641
"제주-청주","계","출발","2022.07",131340
"제주-청주","계","출발","2022.08",143403
"제주-청주","계","출발","2022.09",122327
"제주-청주","계","출발","2022.10",151088
"제주-청주","계","출발","2022.11",127786
"제주-사천","계","도착","2020.02",842
"제주-사천","계","도착","2020.04",144
"제주-사천","계","도착","2020.05",441
"제주-사천","계","출발","2020.02",825
"제주-사천","계","출발","2020.04",69
"제주-사천","계","출발","2020.05",541
"제주-포항경주","계","도착","2020.02",1049
"제주-포항경주","계","도착","2020.04",198
"제주-포항경주","계","도착","2020.05",287
"제주-포항경주","계","도착","2020.07",238
"제주-포항경주","계","도착","2020.08",5942
"제주-포항경주","계","도착","2020.09",2382
"제주-포항경주","계","도착","2020.10",3296
"제주-포항경주","계","도착","2020.11",3669
"제주-포항경주","계","도착","2020.12",1682
"제주-포항경주","계","도착","2021.01",1233
"제주-포항경주","계","도착","2021.02",3636
"제주-포항경주","계","도착","2021.03",3584
"제주-포항경주","계","도착","2021.04",5061
"제주-포항경주","계","도착","2021.05",4146
"제주-포항경주","계","도착","2021.06",5975
"제주-포항경주","계","도착","2021.07",4743
"제주-포항경주","계","도착","2021.08",3572
"제주-포항경주","계","도착","2021.09",2978
"제주-포항경주","계","도착","2021.10",6088
"제주-포항경주","계","도착","2021.11",7904
"제주-포항경주","계","도착","2021.12",5232
"제주-포항경주","계","도착","2022.01",6064
"제주-포항경주","계","도착","2022.02",4848
"제주-포항경주","계","도착","2022.03",3540
"제주-포항경주","계","도착","2022.04",6202
"제주-포항경주","계","도착","2022.05",9678
"제주-포항경주","계","도착","2022.06",10163
"제주-포항경주","계","도착","2022.07",7866
"제주-포항경주","계","도착","2022.08",7650
"제주-포항경주","계","도착","2022.09",6341
"제주-포항경주","계","도착","2022.10",9893
"제주-포항경주","계","도착","2022.11",7796
"제주-포항경주","계","출발","2020.02",1169
"제주-포항경주","계","출발","2020.04",78
"제주-포항경주","계","출발","2020.05",400
"제주-포항경주","계","출발","2020.07",110
"제주-포항경주","계","출발","2020.08",5759
"제주-포항경주","계","출발","2020.09",2361
"제주-포항경주","계","출발","2020.10",3211
"제주-포항경주","계","출발","2020.11",4050
"제주-포항경주","계","출발","2020.12",1816
"제주-포항경주","계","출발","2021.01",1241
"제주-포항경주","계","출발","2021.02",3238
"제주-포항경주","계","출발","2021.03",3637
"제주-포항경주","계","출발","2021.04",4623
"제주-포항경주","계","출발","2021.05",4018
"제주-포항경주","계","출발","2021.06",5766
"제주-포항경주","계","출발","2021.07",4534
"제주-포항경주","계","출발","2021.08",3650
"제주-포항경주","계","출발","2021.09",2896
"제주-포항경주","계","출발","2021.10",5830
"제주-포항경주","계","출발","2021.11",8214
"제주-포항경주","계","출발","2021.12",4683
"제주-포항경주","계","출발","2022.01",6079
"제주-포항경주","계","출발","2022.02",5135
"제주-포항경주","계","출발","2022.03",3598
"제주-포항경주","계","출발","2022.04",6364
"제주-포항경주","계","출발","2022.05",9456
"제주-포항경주","계","출발","2022.06",9699
"제주-포항경주","계","출발","2022.07",7471
"제주-포항경주","계","출발","2022.08",8208
"제주-포항경주","계","출발","2022.09",5342
"제주-포항경주","계","출발","2022.10",10225
"제주-포항경주","계","출발","2022.11",7835
"제주-군산","계","도착","2020.02",7397
"제주-군산","계","도착","2020.04",282
"제주-군산","계","도착","2020.05",545
"제주-군산","계","도착","2020.10",9985
"제주-군산","계","도착","2020.11",13816
"제주-군산","계","도착","2020.12",4110
"제주-군산","계","도착","2021.01",4172
"제주-군산","계","도착","2021.02",9649
"제주-군산","계","도착","2021.03",7544
"제주-군산","계","도착","2021.04",13320
"제주-군산","계","도착","2021.05",15116
"제주-군산","계","도착","2021.06",14002
"제주-군산","계","도착","2021.07",13471
"제주-군산","계","도착","2021.08",10025
"제주-군산","계","도착","2021.09",9356
"제주-군산","계","도착","2021.10",16845
"제주-군산","계","도착","2021.11",16932
"제주-군산","계","도착","2021.12",11268
"제주-군산","계","도착","2022.01",13644
"제주-군산","계","도착","2022.02",13576
"제주-군산","계","도착","2022.03",9955
"제주-군산","계","도착","2022.04",18069
"제주-군산","계","도착","2022.05",21699
"제주-군산","계","도착","2022.06",21485
"제주-군산","계","도착","2022.07",19333
"제주-군산","계","도착","2022.08",20168
"제주-군산","계","도착","2022.09",16312
"제주-군산","계","도착","2022.10",21529
"제주-군산","계","도착","2022.11",19958
"제주-군산","계","출발","2020.02",7426
"제주-군산","계","출발","2020.04",170
"제주-군산","계","출발","2020.05",632
"제주-군산","계","출발","2020.10",8950
"제주-군산","계","출발","2020.11",14382
"제주-군산","계","출발","2020.12",4013
"제주-군산","계","출발","2021.01",3411
"제주-군산","계","출발","2021.02",9033
"제주-군산","계","출발","2021.03",7909
"제주-군산","계","출발","2021.04",12617
"제주-군산","계","출발","2021.05",15188
"제주-군산","계","출발","2021.06",13773
"제주-군산","계","출발","2021.07",12935
"제주-군산","계","출발","2021.08",11009
"제주-군산","계","출발","2021.09",8899
"제주-군산","계","출발","2021.10",16037
"제주-군산","계","출발","2021.11",17634
"제주-군산","계","출발","2021.12",10052
"제주-군산","계","출발","2022.01",12614
"제주-군산","계","출발","2022.02",12506
"제주-군산","계","출발","2022.03",9607
"제주-군산","계","출발","2022.04",17159
"제주-군산","계","출발","2022.05",21242
"제주-군산","계","출발","2022.06",21042
"제주-군산","계","출발","2022.07",18510
"제주-군산","계","출발","2022.08",20745
"제주-군산","계","출발","2022.09",15250
"제주-군산","계","출발","2022.10",21644
"제주-군산","계","출발","2022.11",19806
"제주-광주","계","도착","2020.02",39821
"제주-광주","계","도착","2020.03",30084
"제주-광주","계","도착","2020.04",37974
"제주-광주","계","도착","2020.05",60132
"제주-광주","계","도착","2020.06",64278
"제주-광주","계","도착","2020.07",66141
"제주-광주","계","도착","2020.08",80527
"제주-광주","계","도착","2020.09",48695
"제주-광주","계","도착","2020.10",72848
"제주-광주","계","도착","2020.11",71240
"제주-광주","계","도착","2020.12",39702
"제주-광주","계","도착","2021.01",34510
"제주-광주","계","도착","2021.02",53276
"제주-광주","계","도착","2021.03",59668
"제주-광주","계","도착","2021.04",73195
"제주-광주","계","도착","2021.05",78005
"제주-광주","계","도착","2021.06",75920
"제주-광주","계","도착","2021.07",72140
"제주-광주","계","도착","2021.08",63593
"제주-광주","계","도착","2021.09",54587
"제주-광주","계","도착","2021.10",77125
"제주-광주","계","도착","2021.11",82428
"제주-광주","계","도착","2021.12",72865
"제주-광주","계","도착","2022.01",73970
"제주-광주","계","도착","2022.02",68995
"제주-광주","계","도착","2022.03",53208
"제주-광주","계","도착","2022.04",74947
"제주-광주","계","도착","2022.05",78129
"제주-광주","계","도착","2022.06",77670
"제주-광주","계","도착","2022.07",67141
"제주-광주","계","도착","2022.08",64669
"제주-광주","계","도착","2022.09",64008
"제주-광주","계","도착","2022.10",76784
"제주-광주","계","도착","2022.11",68325
"제주-광주","계","출발","2020.02",41016
"제주-광주","계","출발","2020.03",31093
"제주-광주","계","출발","2020.04",34419
"제주-광주","계","출발","2020.05",62005
"제주-광주","계","출발","2020.06",64211
"제주-광주","계","출발","2020.07",62463
"제주-광주","계","출발","2020.08",83353
"제주-광주","계","출발","2020.09",48265
"제주-광주","계","출발","2020.10",71117
"제주-광주","계","출발","2020.11",72908
"제주-광주","계","출발","2020.12",40800
"제주-광주","계","출발","2021.01",33685
"제주-광주","계","출발","2021.02",52458
"제주-광주","계","출발","2021.03",61055
