"지역별","시점","도착출발별",여객 (명)
"일본","2013.01","도착",436029
"일본","2013.02","도착",473079
"일본","2013.03","도착",527808
"일본","2013.04","도착",430403
"일본","2013.05","도착",426229
"일본","2013.06","도착",435088
"일본","2013.07","도착",460881
"일본","2013.08","도착",552538
"일본","2013.09","도착",436754
"일본","2013.10","도착",437992
"일본","2013.11","도착",417146
"일본","2013.12","도착",452832
"일본","2014.01","도착",420721
"일본","2014.02","도착",468773
"일본","2014.03","도착",481393
"일본","2014.04","도착",402871
"일본","2014.05","도착",411991
"일본","2014.06","도착",413791
"일본","2014.07","도착",442940
"일본","2014.08","도착",531021
"일본","2014.09","도착",435876
"일본","2014.10","도착",467316
"일본","2014.11","도착",443509
"일본","2014.12","도착",475702
"일본","2015.01","도착",494682
"일본","2015.02","도착",509374
"일본","2015.03","도착",532780
"일본","2015.04","도착",491045
"일본","2015.05","도착",502894
"일본","2015.06","도착",371146
"일본","2015.07","도착",425605
"일본","2015.08","도착",586666
"일본","2015.09","도착",474778
"일본","2015.10","도착",570952
"일본","2015.11","도착",548112
"일본","2015.12","도착",596416
"일본","2016.01","도착",651868
"일본","2016.02","도착",653587
"일본","2016.03","도착",630247
"일본","2016.04","도착",572390
"일본","2016.05","도착",488841
"일본","2016.06","도착",531876
"일본","2016.07","도착",624429
"일본","2016.08","도착",734817
"일본","2016.09","도착",632393
"일본","2016.10","도착",700817
"일본","2016.11","도착",661733
"일본","2016.12","도착",714262
"일본","2017.01","도착",769520
"일본","2017.02","도착",794149
"일본","2017.03","도착",776854
"일본","2017.04","도착",708705
"일본","2017.05","도착",727533
"일본","2017.06","도착",723735
"일본","2017.07","도착",798786
"일본","2017.08","도착",922007
"일본","2017.09","도착",751978
"일본","2017.10","도착",843408
"일본","2017.11","도착",840331
"일본","2017.12","도착",894881
"일본","2018.01","도착",948756
"일본","2018.02","도착",911149
"일본","2018.03","도착",949073
"일본","2018.04","도착",882833
"일본","2018.05","도착",859118
"일본","2018.06","도착",855213
"일본","2018.07","도착",851529
"일본","2018.08","도착",988627
"일본","2018.09","도착",737862
"일본","2018.10","도착",888315
"일본","2018.11","도착",881198
"일본","2018.12","도착",970334
"일본","2019.01","도착",972547
"일본","2019.02","도착",950534
"일본","2019.03","도착",1002798
"일본","2019.04","도착",926336
"일본","2019.05","도착",851495
"일본","2019.06","도착",921289
"일본","2019.07","도착",895706
"일본","2019.08","도착",804985
"일본","2019.09","도착",520658
"일본","2019.10","도착",529979
"일본","2019.11","도착",522275
"일본","2019.12","도착",605141
"일본","2020.01","도착",570606
"일본","2020.02","도착",434860
"일본","2020.03","도착",37958
"일본","2020.04","도착",6990
"일본","2020.05","도착",4111
"일본","2020.06","도착",3649
"일본","2020.07","도착",4435
"일본","2020.08","도착",5022
"일본","2020.09","도착",4731
"일본","2020.10","도착",4777
"일본","2020.11","도착",5935
"일본","2020.12","도착",7543
"일본","2021.01","도착",6504
"일본","2021.02","도착",6684
"일본","2021.03","도착",5484
"일본","2021.04","도착",5044
"일본","2021.05","도착",4568
"일본","2021.06","도착",4664
"일본","2021.07","도착",5620
"일본","2021.08","도착",9446
"일본","2021.09","도착",5412
"일본","2021.10","도착",8077
"일본","2021.11","도착",7964
"일본","2021.12","도착",6447
"일본","2022.01","도착",5567
"일본","2022.02","도착",8607
"일본","2022.03","도착",8290
"일본","2022.04","도착",15903
"일본","2022.05","도착",17343
"일본","2022.06","도착",29071
"일본","2022.07","도착",53808
"일본","2022.08","도착",84710
"일본","2022.09","도착",79256
"일본","2022.10","도착",198303
"일본","2022.11","도착",399719
"중국","2013.01","도착",417503
"중국","2013.02","도착",429419
"중국","2013.03","도착",479405
"중국","2013.04","도착",500504
"중국","2013.05","도착",465949
"중국","2013.06","도착",549708
"중국","2013.07","도착",668198
"중국","2013.08","도착",737586
"중국","2013.09","도착",632582
"중국","2013.10","도착",552773
"중국","2013.11","도착",476353
"중국","2013.12","도착",432081
"중국","2014.01","도착",524309
"중국","2014.02","도착",483129
"중국","2014.03","도착",549159
"중국","2014.04","도착",660481
"중국","2014.05","도착",668476
"중국","2014.06","도착",690205
"중국","2014.07","도착",829504
"중국","2014.08","도착",906367
"중국","2014.09","도착",772679
"중국","2014.10","도착",734791
"중국","2014.11","도착",650885
"중국","2014.12","도착",579431
"중국","2015.01","도착",640517
"중국","2015.02","도착",691689
"중국","2015.03","도착",700341
"중국","2015.04","도착",831882
"중국","2015.05","도착",849535
"중국","2015.06","도착",466567
"중국","2015.07","도착",487714
"중국","2015.08","도착",740310
"중국","2015.09","도착",758200
"중국","2015.10","도착",802310
"중국","2015.11","도착",694309
"중국","2015.12","도착",631642
"중국","2016.01","도착",752741
"중국","2016.02","도착",713955
"중국","2016.03","도착",766003
"중국","2016.04","도착",856585
"중국","2016.05","도착",867694
"중국","2016.06","도착",915463
"중국","2016.07","도착",1037729
"중국","2016.08","도착",1036669
"중국","2016.09","도착",861452
"중국","2016.10","도착",839739
"중국","2016.11","도착",686428
"중국","2016.12","도착",669844
"중국","2017.01","도착",796584
"중국","2017.02","도착",718408
"중국","2017.03","도착",581903
"중국","2017.04","도착",442323
"중국","2017.05","도착",483440
"중국","2017.06","도착",498458
"중국","2017.07","도착",571253
"중국","2017.08","도착",645853
"중국","2017.09","도착",588802
"중국","2017.10","도착",622477
"중국","2017.11","도착",536158
"중국","2017.12","도착",558919
"중국","2018.01","도착",602945
"중국","2018.02","도착",587287
"중국","2018.03","도착",657960
"중국","2018.04","도착",662313
"중국","2018.05","도착",661251
"중국","2018.06","도착",671797
"중국","2018.07","도착",719834
"중국","2018.08","도착",805273
"중국","2018.09","도착",745396
"중국","2018.10","도착",735953
"중국","2018.11","도착",666253
"중국","2018.12","도착",639242
"중국","2019.01","도착",688157
"중국","2019.02","도착",680011
"중국","2019.03","도착",741386
"중국","2019.04","도착",759243
"중국","2019.05","도착",771453
"중국","2019.06","도착",790221
"중국","2019.07","도착",793014
"중국","2019.08","도착",905478
"중국","2019.09","도착",839650
"중국","2019.10","도착",819922
"중국","2019.11","도착",768171
"중국","2019.12","도착",735102
"중국","2020.01","도착",809275
"중국","2020.02","도착",151524
"중국","2020.03","도착",20169
"중국","2020.04","도착",5759
"중국","2020.05","도착",8901
"중국","2020.06","도착",9994
"중국","2020.07","도착",13715
"중국","2020.08","도착",17911
"중국","2020.09","도착",17646
"중국","2020.10","도착",15290
"중국","2020.11","도착",14301
"중국","2020.12","도착",12828
"중국","2021.01","도착",11954
"중국","2021.02","도착",13214
"중국","2021.03","도착",21258
"중국","2021.04","도착",19185
